Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,DON,F_DON,TDN,F_TDN,TN,F_TN,PN,F_PN,TKN,F_TKN,TKNF,F_TKNF,TON,F_TON,PON,F_PON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,DOC,F_DOC,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ENTERO_MPN,F_ENTERO_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,SECCHI,F_SECCHI
gtmpinut,7/7/2020 13:36,1,1, ,0.032,0,0.074,0,0.017,0,0.073,<1> [SCC],-0.039,<-3> [SNV],0.034,<1> [SCC],0.051,<1> (CSM),0.51,0,0.56,<1> (CSM),0.64,<1> (CSM),0.08,0,0.61,0,0.53,0,0.59,0,0.08,0,9.0,0,11.0,0,3.2,0,7.2,0,19,0,8,<1> [GSM] (CHB), ,<-1>  ,28.5,0,27.2,0,3.9,0,7.2,0,11,0,0.80,0
gtmpinut,7/7/2020 13:38,1,2, ,0.031,0,0.073,0,0.016,0,0.074,<1> [SCC],-0.041,<-3> [SNV],0.033,<1> [SCC],0.049,<1> (CSM),0.55,<1> (CSM),0.60,<1> [SCC],0.56,<1> [SCC],-0.04,<-3> [SNV],0.53,<1> [SCC],0.57,<1> [SCC],0.51,<1> (CSM),-0.04,<-3> [SNV],8.4,0,10.0,0,2.5,0,7.3,0,18,0,3,<1> [GSM] (CHB), ,<-1>  ,28.5,0,27.2,0,3.9,0,7.2,0,10,0,0.80,0
gtmpcnut,8/17/2020 8:30,2,1, ,0.061,<1> (CHB),0.120,0,0.077,0,0.006,<1> (CHB),0.006,<1> [GSM] (CHB),0.012,0,0.089,0,0.48,0,0.57,0,0.81,0,0.24,0,0.80,0,0.56,0,0.72,0,0.24,0,7.5,<1> (CHB),12.0,<1> (CHB),6.5,<1> (CHB),13.0,0,25,0, ,<-1>  , ,<-1>  ,29.4,0,16.4,0,3.6,0,7.3,0,15,<1> (CHB), ,<-1>  
gtmpcnut,8/17/2020 11:00,2,1, ,0.056,<1> (CHB),0.100,0,0.057,0,0.004,<1> (CHB),0.009,<1> [GSM] (CHB),0.013,0,0.070,0, ,<-1>,,<-1>,0.80,0,,<-1>,0.79,0, ,<-1>  ,0.73,0,,<-1>,7.7,0,11.0,0,5.6,0,11.0,0,21,0,8,<1> [GSM] (CHB), ,<-1>  ,29.7,0,15.8,0,3.7,0,7.3,0,11,<1> (CHB), ,<-1>  
gtmpcnut,8/17/2020 13:30,2,1, ,0.070,<1> (CHB),0.120,0,0.073,0,0.004,<1> [GSM] (CHB),0.010,<1> [GSM] (CHB),0.014,0,0.087,0, ,<-1>,,<-1>,0.81,0,,<-1>,0.80,0, ,<-1>  ,0.73,0,,<-1>,9.6,0,13.0,0,4.9,0,14.0,0,20,0,39,<1> [GSM] (CHB), ,<-1>  ,30.3,0,10.9,0,3.9,0,7.3,0,12,<1> (CSM), ,<-1>  
gtmpcnut,8/17/2020 16:00,2,1, ,0.067,0,0.120,0,0.028,0,0.004,0,0.010,0,0.014,0,0.042,0, ,<-1>,,<-1>,0.81,0,,<-1>,0.80,0, ,<-1>  ,0.77,0,,<-1>,9.6,0,13.0,0,5.2,0,16.0,0,17,0,47,<1> [GSM] (CHB), ,<-1>  ,30.8,0,6.8,0,4.1,0,7.2,0,11,0, ,<-1>  
gtmpcnut,8/17/2020 18:30,2,1, ,0.070,0,0.120,0,0.010,0,0.003,0,0.007,0,0.010,0,0.020,0, ,<-1>,,<-1>,0.86,0,,<-1>,0.85,0, ,<-1>  ,0.84,0,,<-1>,12.0,0,16.0,0,5.4,0,15.0,0,14,0,11,<1> [GSM] (CHB), ,<-1>  ,31.2,0,9.9,0,5.1,0,7.4,0,12,0, ,<-1>  
gtmpcnut,8/17/2020 21:00,2,1, ,0.050,0,0.140,0,0.035,0,0.003,0,0.011,0,0.014,0,0.049,0, ,<-1>,,<-1>,0.90,0,,<-1>,0.89,0, ,<-1>  ,0.86,0,,<-1>,11.0,<1> (CSM),17.0,<1> (CSM),9.6,<1> (CSM),9.8,0,46,0,3,<-4> [SBL] (CHB), ,<-1>  ,30.8,0,19.1,0,5.6,0,7.6,0,28,0, ,<-1>  
gtmpcnut,8/17/2020 23:30,2,1, ,0.036,0,0.078,0,0.021,0,0.002,<-4> [SBL],,<-4> [SCB],0.006,0,0.027,0, ,<-1>,,<-1>,0.69,0,,<-1>,0.68,0, ,<-1>  ,0.66,0,,<-1>,9.0,0,12.0,0,4.2,0,7.7,0,22,0,3,<-4> [SBL] (CHB), ,<-1>  ,30.6,0,22.4,0,5.7,0,7.7,0,14,0, ,<-1>  
gtmpcnut,8/18/2020 2:00,2,1, ,0.060,0,0.110,0,0.037,0,0.003,0,0.008,0,0.011,0,0.048,0, ,<-1>,,<-1>,0.78,0,,<-1>,0.77,0, ,<-1>  ,0.73,0,,<-1>,7.4,0,12.0,0,7.5,0,12.0,0,24,0,28,<1> [GSM] (CHB), ,<-1>  ,30.2,0,13.1,0,4.2,0,7.3,0,16,0, ,<-1>  
